C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
611 	  26438.82	     0	2010MNRAS.408..475H	B              	11.74 	11.22 	     ~
612 	  10826.37	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
613 	   6273.47	   100	2007ApJS..172..663S	B              	     ~	     ~	16.30 
614 	  12348.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
615 	   7805.89	   100	2007ApJS..172..663S	B              	     ~	16.23 	13.53 
616 	   1302.51	   100	2007ApJS..172..663S	B              	     ~	     ~	19.06 
617 	   6541.31	     0	2010MNRAS.408..475H	B              	12.76 	11.52 	     ~
618 	  20456.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
619 	   5756.75	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
620 	  33544.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
621 	  13303.38	   100	2010MNRAS.408..475H	B              	     ~	     ~	13.73 
622 	  22732.05	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
623 	  10968.78	   100	2007ApJS..172..663S	B              	     ~	     ~	15.52 
624 	  19413.19	     0	2010MNRAS.408..475H	B              	12.54 	12.11 	     ~
625 	   5434.25	   100	2007ApJS..172..663S	B              	15.36 	13.95 	12.35 
626 	  21524.94	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
627 	   7823.50	   100	2007ApJS..172..663S	B              	     ~	20.40 	16.10 
628 	  26238.00	     0	2010MNRAS.408..475H	B              	 9.48 	 9.48 	     ~
629 	  35402.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
630 	  22082.45	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
631 	   1205.28	   100	2010MNRAS.408..475H	B              	10.6  	10.2  	 9.39 
632 	   3826.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
633 	  28791.23	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
634 	  23778.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
635 	  24976.73	     0	2010MNRAS.408..475H	B              	12.52 	11.66 	     ~
636 	   6874.59	   100	2007ApJS..172..663S	B              	     ~	19.70 	15.80 
637 	  16784.14	     0	2010MNRAS.408..475H	B              	11.29 	10.72 	     ~
638 	   1790.22	     0	2010MNRAS.408..475H	B              	13.55 	     ~	     ~
639 	  24580.12	     0	2010MNRAS.408..475H	B              	12.78 	10.90 	     ~
640 	   4090.93	   100	2001A&A...373..159C	B              	 9.62 	 9.21 	 8.55 
641 	   1876.21	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
642 	  32926.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
643 	   5043.08	   100	2007ApJS..172..663S	B              	     ~	16.40 	13.68 
644 	  33337.52	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
645 	  34613.77	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
646 	   6263.72	   100	2010MNRAS.408..475H	B              	16.99 	15.44 	13.03 
647 	   5730.56	   100	2007ApJS..172..663S	B              	     ~	14.31 	12.59 
648 	   1020.79	     0	2010MNRAS.408..475H	B              	14.08 	     ~	     ~
649 	  11932.58	   100	2007ApJS..172..663S	B              	     ~	     ~	15.00 
650 	  15742.44	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
651 	  14732.92	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
652 	   1775.71	   100	2007ApJS..172..663S	B              	     ~	17.80 	14.70 
653 	  12535.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
654 	  21236.89	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
655 	  23851.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
656 	   3611.53	   100	2001A&A...373..159C	B              	 9.90 	 9.46 	 8.90 
657 	  25591.92	     0	2010MNRAS.408..475H	B              	12.41 	11.74 	     ~
658 	   8679.85	   100	2010MNRAS.408..475H	B              	11.73 	11.24 	     ~
659 	  35198.14	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
660 	   2068.60	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
661 	  10719.18	   100	2007ApJS..172..663S	B              	     ~	16.90 	14.30 
662 	   3151.96	   100	2007ApJS..172..663S	B              	14.74 	13.52 	12.08 
663 	  21396.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
664 	  26760.38	     0	2010MNRAS.408..475H	B              	12.74 	11.40 	     ~
665 	   7031.95	   100	2007ApJS..172..663S	B              	     ~	     ~	18.84 
666 	   7348.24	   100	2007ApJS..172..663S	B              	15.5  	     ~	14.67 
667 	   6035.88	     0	2010MNRAS.408..475H	B              	10.36 	 9.99 	     ~
668 	  18128.93	     0	2010MNRAS.408..475H	B              	12.68 	12.02 	     ~
669 	  15941.80	   100	2007ApJS..172..663S	B              	     ~	     ~	16.06 
670 	  14680.12	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
671 	  10972.14	   100	2007ApJS..172..663S	B              	11.55 	10.85 	     ~
672 	  32378.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
673 	  27662.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
674 	   1448.38	   100	2007ApJS..172..663S	B              	13.20 	12.18 	11.25 
675 	   1317.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
676 	  15471.90	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
677 	   4731.28	   100	2007ApJS..172..663S	B              	     ~	     ~	15.70 
678 	  15042.39	   100	2007ApJS..172..663S	B              	     ~	     ~	14.85 
679 	  21835.03	     0	2010MNRAS.408..475H	B              	11.75 	10.96 	     ~
680 	  13352.83	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
681 	  31204.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
682 	   4417.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
683 	  20872.90	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
684 	   9714.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
685 	  12783.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
686 	  16685.65	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
687 	  32321.81	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
688 	  34500.79	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
689 	   9571.29	   100	2007ApJS..172..663S	B              	11.09 	10.61 	     ~
690 	  13698.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
691 	  15896.94	   100	2010MNRAS.408..475H	B              	13.00 	12.52 	     ~
692 	  18641.07	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
693 	   3849.25	   100	2007ApJS..172..663S	B              	18.81 	17.16 	14.23 
694 	   2582.98	   100	2007ApJS..172..663S	B              	     ~	18.60 	15.40 
695 	  27024.41	     0	2010MNRAS.408..475H	B              	12.23 	12.02 	     ~
696 	   2050.39	   100	2007ApJS..172..663S	B              	     ~	     ~	15.30 
697 	  12820.06	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
698 	   5657.67	   100	2007ApJS..172..663S	B              	     ~	14.40 	12.59 
699 	  31645.43	     0	2010MNRAS.408..475H	B              	12.9  	     ~	     ~
700 	  13552.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
701 	  31063.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
702 	   8608.88	   100	2007ApJS..172..663S	B              	     ~	     ~	13.89 
703 	  29233.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
704 	  30795.41	     0	2010MNRAS.408..475H	B              	12.78 	12.02 	     ~
705 	   7365.29	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
706 	   7750.49	   100	2007ApJS..172..663S	B              	     ~	     ~	17.38 
707 	  23920.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
708 	  29165.85	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
709 	  14022.22	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
710 	  30594.38	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
711 	  12042.96	     0	2010MNRAS.408..475H	B              	11.79 	11.30 	     ~
712 	  14117.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
713 	  11598.68	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
714 	   2159.52	   100	2007ApJS..172..663S	B              	 6.586	 6.606	 6.57 
715 	   4456.37	   100	2007ApJS..172..663S	B              	11.8  	11.3  	10.35 
716 	  28802.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
717 	   4130.20	   100	2007ApJS..172..663S	B              	15.91 	14.47 	12.87 
718 	   7054.06	   100	2007ApJS..172..663S	B              	     ~	     ~	15.38 
719 	  22340.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
720 	   2195.19	   100	2007ApJS..172..663S	B              	16.76 	15.31 	12.94 
721 	  20087.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
722 	  28470.39	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
723 	   6696.17	   100	2007ApJS..172..663S	B              	     ~	17.10 	14.00 
724 	   4785.93	   100	2007ApJS..172..663S	B              	     ~	     ~	15.72 
725 	  23927.93	     0	2010MNRAS.408..475H	B              	12.74 	11.12 	     ~
726 	  25193.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
727 	  25135.34	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
728 	  20118.53	     0	2010MNRAS.408..475H	B              	11.53 	10.95 	     ~
729 	   2173.84	   100	2007ApJS..172..663S	B              	17.75 	16.18 	13.70 
730 	   8052.93	   100	2007ApJS..172..663S	B              	13.3  	17.50 	     ~
731 	  12966.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
732 	  17103.81	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
733 	   3250.68	   100	2007ApJS..172..663S	B              	     ~	16.70 	14.17 
734 	   4827.17	   100	2007ApJS..172..663S	B              	     ~	     ~	12.14 
735 	   6835.03	   100	2007ApJS..172..663S	B              	     ~	     ~	15.66 
736 	   4514.02	   100	2007ApJS..172..663S	B              	19.21 	17.60 	14.68 
737 	  17496.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
738 	  23644.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
739 	  11548.37	   100	2007ApJS..172..663S	B              	     ~	     ~	16.47 
740 	   4000.58	   100	2007ApJS..172..663S	B              	17.85 	16.16 	13.74 
741 	   8444.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
742 	   8858.50	   100	2007ApJS..172..663S	B              	     ~	     ~	15.74 
743 	  31066.02	     0	2010MNRAS.408..475H	B              	10.94 	10.09 	     ~
744 	   4684.78	   100	2007ApJS..172..663S	B              	     ~	     ~	15.57 
745 	  13994.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
746 	   7401.47	   100	2007ApJS..172..663S	B              	     ~	17.60 	14.80 
747 	   1099.73	   100	2007ApJS..172..663S	B              	11.22 	10.55 	 9.77 
748 	  38356.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
749 	  16996.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
750 	   2740.46	     0	2010MNRAS.408..475H	B              	10.31 	 9.87 	     ~
751 	   7253.19	   100	2007ApJS..172..663S	B              	     ~	     ~	17.61 
752 	   6445.38	   100	2007ApJS..172..663S	B              	20.4  	     ~	15.49 
753 	  18472.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
754 	   4080.45	   100	2007ApJS..172..663S	B              	18.04 	16.41 	13.80 
755 	  26883.48	     0	2010MNRAS.408..475H	B              	11.38 	10.79 	     ~
756 	  12968.02	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
757 	  24624.16	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
758 	  26462.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
759 	   3332.01	   100	2007ApJS..172..663S	B              	     ~	     ~	15.14 
760 	   7235.18	   100	2007ApJS..172..663S	B              	     ~	20.40 	16.20 
761 	   8609.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
762 	   8650.94	   100	2007ApJS..172..663S	B              	     ~	     ~	15.75 
763 	  27441.93	     0	2010MNRAS.408..475H	B              	11.24 	10.33 	     ~
764 	  25873.99	     0	2010MNRAS.408..475H	B              	12.33 	11.48 	     ~
765 	   7476.34	   100	2007ApJS..172..663S	B              	     ~	17.21 	14.44 
766 	  25930.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
767 	  10457.98	     0	2010MNRAS.408..475H	B              	12.33 	12.41 	     ~
768 	  22152.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
769 	  19641.76	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
770 	    683.36	   100	2007ApJS..172..663S	B              	15.59 	14.22 	12.48 
771 	   7521.82	   100	2007ApJS..172..663S	B              	13.77 	12.68 	     ~
772 	   1791.24	   100	2007ApJS..172..663S	B              	 3.54 	 3.62 	 3.65 
773 	  20491.32	     0	2010MNRAS.408..475H	B              	12.56 	12.27 	     ~
774 	   9488.06	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
775 	  15954.41	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
776 	   1477.51	   100	2007ApJS..172..663S	B              	     ~	     ~	16.80 
777 	   9343.36	   100	2007ApJS..172..663S	B              	     ~	     ~	14.51 
778 	   3601.54	   100	2007ApJS..172..663S	B              	     ~	16.48 	13.82 
779 	  26826.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
780 	   1118.74	   100	2007ApJS..172..663S	B              	18.85 	17.81 	14.83 
781 	   3766.97	   100	2007ApJS..172..663S	B              	17.97 	16.37 	13.73 
782 	  27700.00	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
783 	   4123.90	   100	2007ApJS..172..663S	B              	     ~	     ~	15.33 
784 	   7812.89	   100	2007ApJS..172..663S	B              	     ~	17.91 	14.88 
785 	  18636.27	     0	2010MNRAS.408..475H	B              	11.80 	11.19 	     ~
786 	   1354.29	   100	2007ApJS..172..663S	B              	16.88 	15.25 	12.85 
787 	   1948.96	   100	2007ApJS..172..663S	B              	13.67 	12.57 	11.24 
788 	    547.63	   100	2007ApJS..172..663S	B              	     ~	     ~	15.12 
789 	   4424.42	   100	2007ApJS..172..663S	B              	     ~	15.81 	13.44 
790 	  14087.36	   100	2007ApJS..172..663S	B              	     ~	     ~	15.58 
791 	  30746.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
792 	  22225.98	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
793 	   5071.57	     0	2011MNRAS.412.2071C	B              	     ~	     ~	     ~
794 	   4509.63	   100	2007ApJS..172..663S	B              	     ~	     ~	15.03 
795 	  26958.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
796 	  17522.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
797 	   3694.13	   100	2007ApJS..172..663S	B              	11.86 	11.10 	     ~
798 	  14743.98	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
799 	   1937.39	   100	2007ApJS..172..663S	B              	14.28 	13.05 	11.52 
800 	   1559.26	   100	2007ApJS..172..663S	B              	17.55 	16.09 	13.60 
801 	  11534.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
802 	   5405.65	   100	2007ApJS..172..663S	B              	     ~	     ~	15.69 
803 	  22119.03	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
804 	  15673.24	   100	2007ApJS..172..663S	B              	     ~	     ~	17.71 
805 	  17303.68	   100	2007ApJS..172..663S	B              	     ~	     ~	13.18 
806 	  13457.59	   100	2007ApJS..172..663S	B              	11.47 	10.81 	     ~
807 	  16849.11	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
808 	   1792.71	   100	2007ApJS..172..663S	B              	     ~	18.90 	15.70 
809 	   4258.84	   100	2007ApJS..172..663S	B              	13.52 	12.45 	11.40 
810 	   5784.89	   100	2007ApJS..172..663S	B              	     ~	17.70 	14.80 
811 	   5364.73	   100	2010MNRAS.408..475H	B              	     ~	15.57 	13.48 
812 	  13890.59	   100	2007ApJS..172..663S	B              	     ~	     ~	18.62 
813 	   8797.79	     0	2010MNRAS.408..475H	B              	12.56 	11.62 	     ~
814 	   3342.19	   100	2007ApJS..172..663S	B              	     ~	     ~	16.18 
815 	   3153.98	   100	2007ApJS..172..663S	B              	18.18 	16.89 	13.71 
816 	  17177.05	     0	2010MNRAS.408..475H	B              	12.44 	11.59 	     ~
817 	  20312.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
818 	  29211.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
819 	  13281.04	     0	2010MNRAS.408..475H	B              	12.42 	11.49 	     ~
820 	  12325.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
821 	  27493.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
822 	   8739.95	   100	2007ApJS..172..663S	B              	     ~	     ~	13.10 
823 	  10883.36	   100	2007ApJS..172..663S	B              	     ~	     ~	15.80 
824 	  32206.87	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
825 	  12423.59	     0	2010MNRAS.408..475H	B              	12.00 	10.86 	     ~
826 	   6523.70	     0	2010MNRAS.408..475H	B              	10.06 	 9.43 	     ~
827 	  16505.22	   100	2007ApJS..172..663S	B              	     ~	     ~	14.70 
828 	   5790.87	   100	2007ApJS..172..663S	B              	     ~	18.26 	15.50 
829 	  18277.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
830 	   4441.00	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
831 	   5120.28	     0	2010MNRAS.408..475H	B              	11.66 	11.21 	     ~
832 	  11864.29	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
833 	   1746.34	   100	2007ApJS..172..663S	B              	16.63 	15.10 	13.05 
834 	   2403.21	   100	2007ApJS..172..663S	B              	     ~	     ~	14.98 
835 	  25713.85	     0	2010MNRAS.408..475H	B              	10.72 	10.17 	     ~
836 	  14476.50	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
837 	   1538.02	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
838 	  27737.46	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
839 	  13917.18	   100	2010MNRAS.408..475H	B              	13.03 	11.93 	     ~
840 	   1433.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
841 	   2505.88	   100	2007ApJS..172..663S	B              	12.19 	11.36 	10.50 
842 	  25377.00	     0	2010MNRAS.408..475H	B              	12.51 	11.11 	10.2  
843 	  18514.29	     0	2010MNRAS.408..475H	B              	12.43 	11.69 	     ~
844 	  14453.02	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
845 	   1795.96	     0	2010MNRAS.408..475H	B              	12.57 	11.85 	     ~
846 	   5170.34	     0	2010MNRAS.408..475H	B              	12.95 	12.09 	     ~
847 	  16228.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
848 	   1929.23	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
849 	  12130.14	   100	2007ApJS..172..663S	B              	     ~	     ~	13.19 
850 	   4065.81	   100	2010MNRAS.408..475H	B              	17.84 	16.19 	13.76 
851 	   8441.86	     0	2010MNRAS.408..475H	B              	14.4  	     ~	     ~
852 	  12218.97	     0	2010MNRAS.408..475H	B              	11.75 	11.39 	     ~
853 	   4510.20	   100	2010MNRAS.408..475H	B              	18.65 	17.04 	13.92 
854 	   4328.50	   100	2007ApJS..172..663S	B              	     ~	16.36 	13.79 
855 	   7788.94	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
856 	  14715.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
857 	  21806.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
858 	   1482.40	   100	2007ApJS..172..663S	B              	 7.08 	 6.96 	 6.79 
859 	   1379.89	   100	2010MNRAS.408..475H	B              	17.56 	15.97 	13.58 
860 	  11830.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
861 	    681.93	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
862 	   4969.50	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
863 	  11635.70	   100	2007ApJS..172..663S	B              	     ~	     ~	15.07 
864 	  33113.26	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
865 	   9148.40	   100	2007ApJS..172..663S	B              	17.5  	     ~	14.01 
866 	   1222.96	   100	2010MNRAS.408..475H	B              	10.8  	10.0  	 9.43 
867 	  18722.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
868 	   1574.90	   100	2007ApJS..172..663S	B              	13.86 	12.61 	11.05 
869 	   1617.00	   100	2007ApJS..172..663S	B              	     ~	18.20 	15.14 
870 	   5756.54	   100	2007ApJS..172..663S	B              	14.5  	     ~	12.73 
871 	  16268.14	     0	2010MNRAS.408..475H	B              	13.15 	11.86 	     ~
872 	   8129.77	   100	2007ApJS..172..663S	B              	     ~	     ~	15.67 
873 	  29794.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
874 	  15179.89	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
875 	  23960.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
876 	   6126.27	   100	2010MNRAS.408..475H	B              	     ~	16.01 	13.73 
877 	   3536.19	   100	2007ApJS..172..663S	B              	19.9  	17.87 	14.45 
878 	  16558.70	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
879 	  12271.38	   100	2007ApJS..172..663S	B              	     ~	     ~	12.04 
880 	    421.64	   100	2007ApJS..172..663S	B              	13.04 	12.12 	11.24 
881 	  25077.82	     0	2010MNRAS.408..475H	B              	12.06 	11.39 	     ~
882 	  12995.85	   100	2007ApJS..172..663S	B              	     ~	     ~	15.65 
883 	  22265.39	     0	2010MNRAS.408..475H	B              	11.47 	11.09 	     ~
884 	   4009.57	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
885 	   1065.35	   100	2007ApJS..172..663S	B              	     ~	     ~	16.43 
886 	  26966.92	     0	2010MNRAS.408..475H	B              	11.92 	11.58 	     ~
887 	   9862.39	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
888 	  10760.20	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
889 	  12841.56	   100	2007ApJS..172..663S	B              	     ~	     ~	14.63 
890 	   9699.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
891 	   6899.08	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
892 	  24726.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
893 	   6495.76	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
894 	  24149.11	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
895 	   9916.92	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
896 	   5416.75	   100	2007ApJS..172..663S	B              	11.97 	11.23 	     ~
897 	   7730.70	   100	2007ApJS..172..663S	B              	     ~	15.53 	13.45 
898 	  15848.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
899 	   5047.39	   100	2007ApJS..172..663S	B              	     ~	     ~	16.96 
900 	  29926.31	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
901 	  16748.64	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
902 	   5141.85	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
903 	  12696.31	     0	2010MNRAS.408..475H	B              	12.62 	11.74 	     ~
904 	    969.99	   100	2007ApJS..172..663S	B              	     ~	     ~	14.45 
905 	  13072.06	     0	2010MNRAS.408..475H	B              	11.73 	10.94 	     ~
906 	  11975.71	   100	2007ApJS..172..663S	B              	     ~	     ~	15.53 
907 	   1330.44	   100	2007ApJS..172..663S	B              	     ~	18.60 	15.80 
908 	   6170.67	   100	2007ApJS..172..663S	B              	     ~	     ~	14.95 
909 	   7843.40	     0	2010MNRAS.408..475H	B              	12.59 	12.06 	     ~
910 	  16703.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
911 	  12047.91	   100	2007ApJS..172..663S	B              	     ~	     ~	14.89 
912 	   2681.95	   100	2007ApJS..172..663S	B              	13.54 	12.48 	11.28 
913 	   2856.33	   100	2007ApJS..172..663S	B              	     ~	     ~	16.25 
914 	   5281.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
915 	  20219.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
916 	   2654.87	   100	2007ApJS..172..663S	B              	     ~	17.16 	14.36 
917 	   1467.74	   100	2007ApJS..172..663S	B              	15.21 	13.95 	12.37 
918 	   5061.68	   100	2007ApJS..172..663S	B              	     ~	19.00 	15.60 
919 	   4573.47	   100	2007ApJS..172..663S	B              	     ~	14.51 	12.69 
920 	  28118.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
921 	   2651.19	   100	2007ApJS..172..663S	B              	     ~	19.40 	15.80 
922 	   1292.72	   100	2007ApJS..172..663S	B              	14.92 	13.59 	12.09 
923 	   8892.47	   100	2007ApJS..172..663S	B              	     ~	     ~	12.37 
924 	  13769.68	   100	2007ApJS..172..663S	B              	     ~	     ~	16.35 
925 	  19071.24	     0	2010MNRAS.408..475H	B              	11.16 	10.42 	     ~
926 	   7917.39	   100	2007ApJS..172..663S	B              	     ~	17.40 	14.60 
927 	   3085.34	   100	2007ApJS..172..663S	B              	15.0  	17.64 	14.91 
928 	  17171.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
929 	   2520.81	   100	2007ApJS..172..663S	B              	15.7  	18.08 	15.08 
930 	   9839.13	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
931 	   5898.94	   100	2007ApJS..172..663S	B              	13.3  	16.80 	14.40 
932 	    623.57	     0	2010MNRAS.408..475H	B              	     ~	13.24 	     ~
933 	  23973.99	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
934 	  21942.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
935 	   9614.16	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
936 	   4617.09	   100	2007ApJS..172..663S	B              	     ~	     ~	16.62 
937 	   8992.38	   100	2007ApJS..172..663S	B              	11.99 	11.25 	     ~
938 	   6265.57	   100	2007ApJS..172..663S	B              	     ~	     ~	17.752
939 	  18984.34	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
940 	  10404.12	   100	2007ApJS..172..663S	B              	     ~	17.60 	14.50 
941 	  21509.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
942 	   9577.07	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
943 	   8717.02	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
944 	  14347.18	   100	2007ApJS..172..663S	B              	     ~	     ~	14.12 
945 	   5821.68	   100	2007ApJS..172..663S	B              	     ~	     ~	17.23 
946 	   1729.92	   100	2007ApJS..172..663S	B              	 7.89 	 7.71 	 7.45 
947 	   9983.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
948 	  16665.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
949 	  21662.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
950 	  16192.94	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
