C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
75  	  31348.49	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
76  	  21614.86	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
77  	   7420.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
78  	   4840.38	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
79  	  16394.06	   100	2007ApJS..172..663S	B              	     ~	     ~	12.93 
80  	   8109.49	   100	2007ApJS..172..663S	B              	17.8  	16.15 	13.65 
81  	  27984.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
82  	  19180.09	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
83  	  11338.53	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
84  	  15855.46	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
85  	  23569.52	     0	2010MNRAS.408..475H	B              	11.80 	10.67 	     ~
86  	   5237.13	     0	2010MNRAS.408..475H	B              	15.33 	13.87 	11.0  
87  	  10859.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
88  	   8153.03	   100	2007ApJS..172..663S	B              	     ~	18.20 	14.90 
89  	  32973.07	     0	2010MNRAS.408..475H	B              	12.12 	11.31 	     ~
90  	  15793.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
91  	   1498.64	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
92  	  26562.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
93  	  22328.02	     0	2010MNRAS.408..475H	B              	11.73 	10.95 	     ~
94  	  17097.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
95  	   3776.99	   100	2007ApJS..172..663S	B              	     ~	17.70 	15.01 
96  	   1999.38	     0	2010MNRAS.408..475H	B              	13.400	13.09 	     ~
97  	  15474.52	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
98  	   2496.68	   100	2007ApJS..172..663S	B              	     ~	17.60 	14.60 
99  	    915.43	     0	2010MNRAS.408..475H	B              	15.400	13.18 	     ~
100 	  26366.08	     0	2010MNRAS.408..475H	B              	12.26 	11.48 	     ~
101 	  15472.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
102 	  14127.35	   100	2007ApJS..172..663S	B              	     ~	     ~	14.81 
103 	  11767.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
104 	    923.31	   100	2001A&A...373..159C	B              	 9.80 	 9.25 	 8.64 
105 	   6419.36	   100	2007ApJS..172..663S	B              	     ~	15.20 	13.10 
106 	   7956.03	   100	2007ApJS..172..663S	B              	     ~	17.80 	14.70 
107 	  28070.35	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
108 	   5626.46	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
109 	  18451.35	     0	2010MNRAS.408..475H	B              	11.93 	11.47 	     ~
110 	  31038.77	     0	2010MNRAS.408..475H	B              	11.78 	10.86 	     ~
111 	  21222.74	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
112 	   8693.80	     0	2010MNRAS.408..475H	B              	14.67 	     ~	     ~
113 	  24088.49	     0	2010MNRAS.408..475H	B              	12.22 	11.25 	     ~
114 	  16904.85	   100	2007ApJS..172..663S	B              	     ~	     ~	14.13 
115 	  23853.05	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
116 	  10593.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
117 	   6905.49	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
118 	  34298.82	     0	2010MNRAS.408..475H	B              	12.09 	11.80 	     ~
119 	   1481.52	   100	2007ApJS..172..663S	B              	14.62 	13.39 	11.89 
120 	   2972.50	   100	2007ApJS..172..663S	B              	14.3  	17.33 	14.70 
121 	  10440.98	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
122 	  12502.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
123 	  23523.02	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
124 	   3515.84	   100	2001A&A...373..159C	B              	11.6  	11.3  	10.15 
125 	   3076.97	   100	2007ApJS..172..663S	B              	18.77 	17.09 	14.11 
126 	   6265.62	     0	2010MNRAS.408..475H	B              	13.59 	     ~	     ~
127 	   5135.67	   100	2007ApJS..172..663S	B              	     ~	19.10 	15.70 
128 	   5663.55	     0	2010MNRAS.408..475H	B              	14.01 	12.82 	     ~
129 	   1936.05	   100	2007ApJS..172..663S	B              	12.489	11.620	     ~
130 	   3777.98	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
131 	   6472.59	   100	2007ApJS..172..663S	B              	18.72 	17.17 	14.22 
132 	  29597.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
133 	   7152.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
134 	   3780.72	   100	2007ApJS..172..663S	B              	14.66 	13.49 	12.06 
135 	   9824.89	   100	2007ApJS..172..663S	B              	     ~	     ~	14.50 
136 	  17557.85	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
137 	   2771.19	   100	2007ApJS..172..663S	B              	16.63 	15.07 	12.68 
138 	   7991.88	   100	2007ApJS..172..663S	B              	     ~	     ~	18.41 
139 	  24666.85	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
